review_month,review_count,avg_sentiment_score
2007-08,1,1.0
2008-04,1,3.0
2008-09,1,0.5
2008-12,1,5.0
2009-03,1,5.0
2009-04,2,2.25
2009-05,2,3.25
2009-07,1,5.0
2009-08,2,2.5
2009-10,1,6.0
2010-01,2,3.0
2010-03,1,1.5
2010-04,4,3.0
2010-06,2,2.75
2010-07,2,2.75
2010-08,1,2.0
2010-09,2,2.25
2010-10,5,3.8
2010-11,3,3.83
2011-01,2,1.5
2011-02,1,3.5
2011-03,1,6.0
2011-04,4,0.88
2011-05,1,2.0
2011-06,6,3.17
2011-07,13,2.23
2011-08,39,2.59
2011-09,51,2.59
2011-10,58,2.94
2011-11,79,2.46
2011-12,105,2.5
2012-01,176,2.86
2012-02,196,2.7
2012-03,162,2.63
2012-04,121,2.54
2012-05,138,2.84
2012-06,171,2.62
2012-07,160,2.91
2012-08,9,2.39
2012-09,10,2.3
2012-10,6,3.25
2012-11,12,2.54
2012-12,5,3.0
2013-01,12,3.17
2013-02,7,2.21
2013-03,1,3.0
2013-04,6,1.83
2013-05,6,1.42
2013-06,5,2.5
2013-07,4,1.38
2013-08,12,2.5
2013-09,5,2.6
2013-10,12,2.46
2013-11,10,2.5
2013-12,8,2.19
2014-01,16,2.59
2014-02,22,2.89
2014-03,13,2.08
2014-04,12,2.67
2014-05,7,2.21
2014-06,10,2.6
2014-07,9,2.28
2014-08,9,1.94
2014-09,16,2.62
2014-10,24,3.29
2014-11,15,2.87
2014-12,13,2.81
2015-01,13,2.46
2015-02,13,2.42
2015-03,16,1.78
2015-04,11,1.64
2015-05,14,2.07
2015-06,18,1.83
2015-07,15,1.43
2015-08,15,2.07
2015-09,16,2.22
2015-10,12,1.12
2015-11,9,0.06
2015-12,23,1.26
2016-01,24,1.33
2016-02,24,2.12
2016-03,24,2.33
2016-04,19,1.32
2016-05,36,1.96
2016-06,18,1.69
2016-07,26,1.27
2016-08,26,2.15
2016-09,25,1.74
2016-10,30,2.48
2016-11,39,2.73
2016-12,26,1.75
2017-01,39,2.74
2017-02,29,1.91
2017-03,27,2.39
2017-04,37,1.72
2017-05,60,2.29
2017-06,65,1.9
2017-07,33,1.8
2017-08,67,1.68
2017-09,49,1.64
2017-10,64,1.91
2017-11,71,1.13
2017-12,75,1.32
2018-01,78,1.47
2018-02,53,1.17
2018-03,76,1.03
2018-04,64,1.11
2018-05,66,1.61
2018-06,85,0.88
2018-07,81,1.31
2018-08,75,0.22
2018-09,96,0.59
2018-10,97,0.82
2018-11,126,0.4
2018-12,144,0.21
2019-01,126,0.43
2019-02,101,0.78
2019-03,97,-0.55
2019-04,132,0.37
2019-05,121,-0.02
2019-06,145,-0.1
2019-07,218,-0.75
2019-08,237,-1.14
2019-09,213,-0.96
2019-10,271,-0.93
2019-11,267,-0.92
2019-12,386,-1.01
2020-01,317,-0.87
2020-02,211,-0.86
2020-03,141,-1.68
2020-04,201,-1.1
2020-05,298,-1.26
2020-06,240,-1.3
2020-07,191,-1.45
2020-08,223,-1.46
2020-09,161,-1.67
2020-10,199,-1.56
2020-11,203,-1.39
2020-12,253,-1.33
2021-01,305,-1.63
2021-02,234,-1.31
2021-03,216,-1.63
2021-04,256,-1.76
2021-05,260,-1.76
2021-06,167,-1.72
2021-07,212,-1.6
2021-08,214,-1.81
2021-09,226,-1.87
2021-10,202,-1.36
2021-11,208,-1.88
2021-12,250,-1.74
2022-01,191,-1.54
2022-02,137,-1.45
2022-03,123,-1.54
2022-04,134,-1.5
2022-05,128,-1.94
2022-06,190,-1.74
2022-07,229,-2.16
2022-08,225,-2.07
2022-09,220,-1.78
2022-10,244,-2.1
2022-11,290,-1.83
2022-12,440,-1.86
2023-01,346,-1.54
2023-02,323,-1.7
2023-03,354,-1.67
2023-04,295,-1.32
2023-05,321,-1.71
2023-06,318,-1.7
2023-07,378,-1.53
2023-08,345,-1.52
2023-09,279,-1.44
2023-10,311,-1.66
2023-11,354,-1.83
2023-12,393,-1.61
2024-01,286,-1.54
2024-02,288,-1.74
2024-03,291,-1.66
2024-04,284,-1.57
2024-05,307,-1.6
2024-06,349,-1.72
2024-07,399,-1.64
2024-08,375,-1.59
2024-09,242,-1.62
